the_geom,OBJECTID,X,Y,PLACEID,YEARPLACEID,CITY,STATE,CITYSTATE,YEAR,ASOFDATE,DOCKID,STATIONCT_BIN,DOCKNM,DOCKLESSCT,DOCKLESS_BIN,DOCKLESSNM,SCOOTERCT,SCOOTER_BIN,SCOOTERNM,TYPE,LAT,LON,GEOID,NOTESDOCK,NOTESDOCKLESS,NOTESSCOOTER,DATEDOCKEDLAUNCH,DATEDOCKEDEND,DATESCOOTERLAUNCH,DATESCOOTEREND,DATEDOCKLESSLAUNCH,DATEDOCKLESSEND,DOCKCT,DOCKCT_JUL,STATIONCT_PCT,DOCKNM_JUL,DOCKNM_CAMPUSONLY,DOCKLESSCT_JUL,DOCKLESSNM_JUL,DOCKLESSNM_CAMPUSONLY,SCOOTERCT_JUL,SCOOTERNM_JUL,SCOOTERNM_CAMPUSONLY
POINT (-76.610750000083 39.290800000069),1051,-76.61075,39.2908,MD00117,2021MD00117,Baltimore,MD,"Baltimore, MD",2021,202112,,0,,1,1,Jump (acquired by Lime 05/2020),5,4,"Bolt, Jump (acquired by Lime 05/2020), Lime, LINK, Spin",Dockless and e-scooters,39.2908,-76.61075,24510,,,,,,"Aug-19 (Bolt), Apr-19 (Jump (acquired by Lime 05/2020)), Sep-18 (Lime), Jul-21 (LINK), Mar-19 (Spin)","Jun-21 (Bolt), Jun-21 (Jump (acquired by Lime 05/2020)), May-22 (Lime)",Oct-20 (Jump (acquired by Lime 05/2020)),May-22 (Jump (acquired by Lime 05/2020)),0,0,,,,1,Jump (acquired by Lime 05/2020),,3,"Lime, LINK, Spin",
POINT (-112.074140000053 33.448399999784),1078,-112.07414,33.4484,AZ006,2022AZ006,Phoenix,AZ,"Phoenix, AZ",2022,202212,,0,,1,1,Lime,3,3,"Razor, Spin, Lime",Dockless and e-scooters,33.4484,-112.07414,04013,,relaunched (Lime),"Phoenix scooter pilot ended and other vendors selected. (Razor), relaunched (Lime)",,,"Oct-20 (Razor), Sep-19 (Spin), Jun-22 (Lime)",Jan-23 (Razor),Jun-22 (Lime),,0,0,,,,1,Lime,,3,"Razor, Spin, Lime",
POINT (-112.074140000053 33.448399999784),2,-112.07414,33.4484,AZ006,2015AZ006,Phoenix,AZ,"Phoenix, AZ",2015,201512,37,4,Grid,0,0,,0,0,,Docked only,33.4484,-112.07414,04013,,,,Nov-14 (Grid),Dec-20 (Grid),,,,,62,62,1.83867141,Grid,,0,,,0,,
POINT (-157.855669999721 21.30450000002),564,-157.85567,21.3045,HI0072,2021HI0072,Honolulu,HI,"Honolulu, HI",2021,202112,111,4,Hawaii Bikibike,0,0,,0,0,,Docked only,21.3045,-157.85567,15003,,,,Jun-17 (Hawaii Bikibike),,,,,,129,129,1.7310789,Hawaii Bikibike,,0,,,0,,
POINT (-85.640579999635 31.458399999634),1396,-85.64058,31.4584,AL004,2022AL004,Ozark,AL,"Ozark, AL",2022,202212,,0,,0,0,,1,1,Bird,E-scooters only,31.4584,-85.64058,01045,,,,,,Apr-22 (Bird),Jan-22 (Bird),,,0,0,,,,0,,,0,,
POINT (-85.480779999894 32.609800000216),1172,-85.48078,32.6098,AL005,2023AL005,Auburn,AL,"Auburn, AL",2023,202312,,0,,0,0,,0,0,,Dockless and e-scooters (campus),32.6098,-85.48078,01081,,Auburn University campus (Spin),Auburn University campus (Spin),,,Jan-23 (Spin),,Jan-23 (Spin),,0,0,,,,0,,Spin,0,,Spin
POINT (-82.530849999676 27.33650000033),1090,-82.53085,27.3365,FL0067,2022FL0067,Sarasota,FL,"Sarasota, FL",2022,202212,,0,,1,1,Veo,1,1,Veo,Dockless and e-scooters,27.3365,-82.53085,12115,,,,,,Mar-22 (Veo),,Mar-22 (Veo),,0,0,,,,1,Veo,,1,Veo,
POINT (-122.271349999945 37.804399999904),485,-122.27135,37.8044,CA0023,2020CA0023,Oakland,CA,"Oakland, CA",2020,202012,42,4,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019),0,0,,7,4,"Bird, Clevr, Lime, LINK, Lyft, Spin, Veo",Docked and e-scooters,37.8044,-122.27135,06001,Docked bikeshare station count if for entire system. (Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)),,,Jun-17 (Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)),,"Apr-18 (Bird), Jul-19 (Clevr), Jan-18 (Lime), Nov-20 (LINK), Jul-19 (Lyft), Nov-20 (Spin), Nov-20 (Veo)","Nov-20 (Bird), Nov-20 (Clevr), Nov-20 (Lime), Nov-20 (Lyft), Nov-21 (Spin)",,,490,490,7.70319132,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019),,0,,,7,"Bird, Clevr, Lime, LINK, Lyft, Spin, Veo",
POINT (-95.938369999671 41.258700000173),223,-95.93837,41.2587,NE00146,2017NE00146,Omaha,NE,"Omaha, NE",2017,201712,16,4,Heartland B-cycle,0,0,,0,0,,Docked only,41.2587,-95.93837,31055,,,,Jun-11 (Heartland B-cycle),,,,,,35,35,0.57077626,Heartland B-cycle,,0,,,0,,
POINT (-105.270539999704 40.014900000042),280,-105.27054,40.0149,CO0040,2018CO0040,Boulder,CO,"Boulder, CO",2018,201812,11,4,Boulder B-cycle,0,0,,0,0,,Docked only,40.0149,-105.27054,08013,,,,May-11 (Boulder B-cycle),,,,,,44,44,0.62482249,Boulder B-cycle,,0,,,0,,
POINT (-122.339600000424 47.435100000099),1526,-122.3396,47.4351,WA00229,2022WA00229,Normandy Park,WA,"Normandy Park, WA",2022,202212,,0,,0,0,,1,1,Bird,E-scooters only,47.4351,-122.3396,53033,,,,,,Jun-22 (Bird),,,,0,0,,,,0,,,1,Bird,
POINT (-111.658529999771 40.233800000209),1513,-111.65853,40.2338,UT002090,2022UT002090,Provo,UT,"Provo, UT",2022,202212,,0,,0,0,,2,2,"LINK, Bird",E-scooters only,40.2338,-111.65853,49049,,,,,,"Jun-20 (LINK), Oct-22 (Bird)",Sep-22 (LINK),,,0,0,,,,0,,,2,"LINK, Bird",
POINT (-79.941430000125 37.270900000284),263,-79.94143,37.2709,VA00221,2017VA00221,Roanoke,VA,"Roanoke, VA",2017,201712,106,4,Roanoke,0,0,,0,0,,Docked only,37.2709,-79.94143,51770,,,,May-17 (Roanoke),Jun-20 (Roanoke),,,,,17,17,0.27723418,Roanoke,,0,,,0,,
POINT (-80.24405000009 36.099800000035),431,-80.24405,36.0998,NC00143,2019NC00143,Winston-Salem,NC,"Winston-Salem, NC",2019,201912,105,4,Winston-Salem,0,0,,3,3,"Spin, Veoride, Zagster",Docked and e-scooters,36.0998,-80.24405,37067,,,,May-17 (Winston-Salem),Jun-20 (Winston-Salem),"Oct-19 (Spin), Oct-19 (Veoride), Oct-19 (Zagster)","Dec-20 (Veoride), Jun-20 (Zagster)",,,12,12,0.17600469,Winston-Salem,,0,,,3,"Spin, Veoride, Zagster",
POINT (-92.851799999651 44.742600000054),32,-92.8518,44.7426,MN00131,2015MN00131,Hastings,MN,"Hastings, MN",2015,201512,66,2,Zagster Hastings,0,0,,0,0,,Docked only,44.7426,-92.8518,27037,,,,Jul-15 (Zagster Hastings),Jan-17 (Zagster Hastings),,,,,1,1,0.02965599,Zagster Hastings,,0,,,0,,
POINT (-86.77428999957 36.162200000144),661,-86.77429,36.1622,TN00192,2022TN00192,Nashville,TN,"Nashville, TN",2022,202212,21,4,Nashville B-cycle,0,0,,2,2,"Bird, Lime",Docked and e-scooters,36.1622,-86.77429,47037,,,,Dec-12 (Nashville B-cycle),,"Jun-18 (Bird), Aug-18 (Lime)",,,,34,34,0.40084886,Nashville B-cycle,,0,,,2,"Bird, Lime",
POINT (-93.368260000413 43.647999999735),1330,-93.36826,43.648,MN00141,2021MN00141,Albert Lea,MN,"Albert Lea, MN",2021,202112,,0,,0,0,,1,1,Bird,E-scooters only,43.648,-93.36826,27047,,,,,,May-21 (Bird),,,,0,0,,,,0,,,1,Bird,
POINT (-76.610750000083 39.290800000069),110,-76.61075,39.2908,MD00117,2016MD00117,Baltimore,MD,"Baltimore, MD",2016,201612,82,4,Baltimore Bikeshare,0,0,,0,0,,Docked only,39.2908,-76.61075,24510,,,,Oct-16 (Baltimore Bikeshare),Aug-18 (Baltimore Bikeshare),,,,,25,25,0.51208521,Baltimore Bikeshare,,0,,,0,,
POINT (-80.139210000223 25.956399999721),394,-80.13921,25.9564,FL0047,2019FL0047,Aventura,FL,"Aventura, FL",2019,201912,85,4,Aventura,0,0,,0,0,,Docked only,25.9564,-80.13921,12086,,,,Sep-16 (Aventura),,,,,,6,6,0.08800235,Aventura,,0,,,0,,
POINT (-82.458439999931 27.946999999979),16,-82.45844,27.947,FL0064,2015FL0064,Tampa,FL,"Tampa, FL",2015,201512,33,4,Coast Bike Share,0,0,,0,0,,Docked only,27.947,-82.45844,12057,,,,Dec-14 (Coast Bike Share),Jan-23 (Coast Bike Share),,,,,30,30,0.88967972,Coast Bike Share,,0,,,0,,
POINT (-118.491220000236 34.018999999727),77,-118.49122,34.019,CA0033,2016CA0033,Santa Monica,CA,"Santa Monica, CA",2016,201612,39,4,Breeze,0,0,,0,0,,Docked only,34.019,-118.49122,06037,,,,Aug-15 (Breeze),Nov-20 (Breeze),,,,,90,90,1.84350676,Breeze,,0,,,0,,
POINT (-77.615209999883 43.157199999992),883,-77.61521,43.1572,NY00161,2018NY00161,Rochester,NY,"Rochester, NY",2018,201812,,0,,1,1,Pace,0,0,,Dockless only,43.1572,-77.61521,36055,,,,,,,,Jul-17 (Pace),Apr-20 (Pace),0,0,,,,1,Pace,,0,,
POINT (-85.667859999556 42.963200000164),1104,-85.66786,42.9632,MI0079,2022MI0079,Grand Rapids,MI,"Grand Rapids, MI",2022,202212,,0,,1,1,Lime,1,1,Lime,Dockless and e-scooters,42.9632,-85.66786,26081,,,,,,Oct-21 (Lime),,Oct-21 (Lime),,0,0,,,,1,Lime,,1,Lime,
POINT (-86.534280000336 39.166999999971),1095,-86.53428,39.167,IN0078,2022IN0078,Bloomington,IN,"Bloomington, IN",2022,202212,,0,,1,1,Lime,2,2,"Bird, Lime",Dockless and e-scooters,39.167,-86.53428,18105,,,,,,"Sep-18 (Bird), Sep-18 (Lime)",,Sep-18 (Lime),,0,0,,,,1,Lime,,2,"Bird, Lime",
POINT (-95.235899999649 38.971900000048),931,-95.2359,38.9719,KS00244,2019KS00244,Lawrence,KS,"Lawrence, KS",2019,201912,,0,,1,1,Veoride,0,0,,Dockless only,38.9719,-95.2359,20045,,,,,,,,Apr-18 (Veoride),Mar-20 (Veoride),0,0,,,,1,Veoride,,0,,
POINT (-81.314499999913 29.89460000024),558,-81.3145,29.8946,FL00253,2021FL00253,St. Augustine,FL,"St. Augustine, FL",2021,202112,164,4,Gotcha,0,0,,0,0,,Docked only,29.8946,-81.3145,12109,,,,Aug-21 (Gotcha),Jul-22 (Gotcha),,,,,14,14,0.18786903,Gotcha,,0,,,0,,
